strategy,email_id,subject,gold_category,predicted_category,gold_priority,predicted_priority,latency_seconds,llm_calls,tool_calls,input_tokens,output_tokens,total_tokens,classify_calls_uninstrumented,error
react,1,Order #TF-2341 not delivered,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,42.87,4,3,7636,373,8009,1,
plan_execute,1,Order #TF-2341 not delivered,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,169.92,16,16,44365,1614,45979,1,
self_correction,1,Order #TF-2341 not delivered,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,51.97,5,3,9814,454,10268,1,
react,2,Missing license keys after payment,Order & Delivery Issues,Billing & Payment,URGENT,MEDIUM,58.71,6,5,11729,372,12101,1,
plan_execute,2,Missing license keys after payment,Order & Delivery Issues,Billing & Payment,URGENT,MEDIUM,115.15,9,10,19509,882,20391,1,
self_correction,2,Missing license keys after payment,Order & Delivery Issues,Billing & Payment,URGENT,MEDIUM,100.32,9,7,20426,699,21125,1,
react,3,Order placed but no confirmation,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,67.36,5,4,9574,396,9970,1,
plan_execute,3,Order placed but no confirmation,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,84.62,7,6,13985,511,14496,1,
self_correction,3,Order placed but no confirmation,Order & Delivery Issues,Order & Delivery Issues,URGENT,URGENT,95.14,9,7,20474,575,21049,1,
react,4,License activation delayed – order #TF-2765,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,75.95,6,5,12022,433,12455,1,
plan_execute,4,License activation delayed – order #TF-2765,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,84.37,7,6,14017,489,14506,1,
self_correction,4,License activation delayed – order #TF-2765,Order & Delivery Issues,Technical / IT Problems,URGENT,URGENT,192.41,13,14,35609,1654,37263,1,
react,5,Wrong product delivered on order,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,URGENT,59.53,6,5,11722,378,12100,1,
plan_execute,5,Wrong product delivered on order,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,URGENT,177.84,16,16,44029,1752,45781,1,
self_correction,5,Wrong product delivered on order,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,URGENT,74.14,8,6,17133,600,17733,1,
react,6,Invoice not received after order,Order & Delivery Issues,Billing & Payment,LOW,MEDIUM,63.32,6,5,12040,447,12487,1,
plan_execute,6,Invoice not received after order,Order & Delivery Issues,Billing & Payment,LOW,MEDIUM,78.24,8,7,16310,519,16829,1,
self_correction,6,Invoice not received after order,Order & Delivery Issues,Billing & Payment,LOW,MEDIUM,88.6,9,7,20446,636,21082,1,
react,7,Order status shows 'pending' for 2 days,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,48.51,3,2,5377,295,5672,1,
plan_execute,7,Order status shows 'pending' for 2 days,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,64.65,6,5,11730,416,12146,1,
self_correction,7,Order status shows 'pending' for 2 days,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,66.06,7,5,15080,508,15588,1,
react,8,Quantity mismatch on delivery,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,50.26,4,3,7217,273,7490,1,
plan_execute,8,Quantity mismatch on delivery,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,57.45,5,4,9235,290,9525,1,
self_correction,8,Quantity mismatch on delivery,Order & Delivery Issues,Order & Delivery Issues,MEDIUM,MEDIUM,174.16,13,12,34743,1742,36485,1,
